price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
4680万円,【レーベン新小岩innovia】 新規リフォーム物件…,東京都江戸川区本一色１,江戸川区,ＪＲ総武線「新小岩」徒歩17分,ＪＲ総武線,新小岩,0,17,68.49m2（壁芯）,14m2,3LDK,2017年2月,0,1
4680万円,プレシス篠崎,東京都江戸川区篠崎町２,江戸川区,都営新宿線「篠崎」徒歩8分,都営新宿線,篠崎,0,8,74.34m2（壁芯）,5.13m2,3LDK+S（納戸）,2016年11月,0,0
4680万円,ライオンズステージキャピタルイースト,東京都江東区東砂８,江東区,東京メトロ東西線「南砂町」徒歩12分,東京メトロ東西線,南砂町,0,12,70.71m2（壁芯）,13.77m2,3LDK,2000年4月,0,0
4680万円,ファミリータウン東陽,東京都江東区東陽２,江東区,東京メトロ東西線「東陽町」徒歩5分,東京メトロ東西線,東陽町,0,5,71.58m2（壁芯）,8.52m2,3LDK,1982年1月,0,0
4690万円,豊洲ハイライズ,東京都江東区豊洲１-2-27,江東区,東京メトロ有楽町線「豊洲」徒歩9分,東京メトロ有楽町線,豊洲,0,9,61.6m2（18.63坪）,-,3LDK,1980年3月,0,0
4690万円,朝日パリオ北千住,東京都足立区千住河原町,足立区,ＪＲ常磐線「北千住」徒歩8分,ＪＲ常磐線,北千住,0,8,55.04m2（16.64坪）（壁芯）,17.02m2,2LDK,1996年10月,0,0
4698万円,ライオンズマンション東葛西弐番館,東京都江戸川区東葛西４,江戸川区,東京メトロ東西線「葛西」徒歩15分,東京メトロ東西線,葛西,0,15,77.27m2（壁芯）,11.84m2,3LDK,2000年1月,1,0
4699万円,パークプレミアムメイツ西新井,東京都足立区西新井３,足立区,日暮里・舎人ライナー「谷在家」徒歩11分,日暮里・舎人ライナー,谷在家,0,11,70.78m2（21.41坪）（壁芯）,12.1m2,3LDK,2015年2月,0,0
4699万円,綾瀬プルミエ,東京都足立区綾瀬１,足立区,東京メトロ千代田線「綾瀬」徒歩3分,東京メトロ千代田線,綾瀬,0,3,80.8m2（壁芯）,16.84m2,4LDK,1987年1月,1,0
4699万円,クレアポルテ西日暮里,東京都荒川区東尾久５,荒川区,日暮里・舎人ライナー「赤土小学校前」徒歩3分,日暮里・舎人ライナー,赤土小学校前,0,3,53.44m2（壁芯）,9.09m2,2LDK,2014年7月,1,0
4750万円,ベルジェンド西日暮里グランセルサス,東京都荒川区西日暮里１,荒川区,京成本線「新三河島」徒歩1分,京成本線,新三河島,0,1,54.38m2（壁芯）,5.18m2,1LDK,2019年1月,0,0
4780万円,東京アクアージュ,東京都足立区栗原３,足立区,東武伊勢崎線「西新井」徒歩9分,東武伊勢崎線,西新井,0,9,75.02m2（22.69坪）（壁芯）,-,3LDK,2003年3月,1,0
4780万円,レーベン　リヴァーレ東京　ラ・トーレ,東京都荒川区荒川５,荒川区,東京メトロ千代田線「町屋」徒歩6分,東京メトロ千代田線,町屋,0,6,55.47m2,8.32m2,2LDK,2006年3月,0,0
4780万円,レーベンリヴァーレ東京ラ・トーレ,東京都荒川区荒川５-1-1,荒川区,京成本線「新三河島」徒歩3分,京成本線,新三河島,0,3,55.47m2（16.77坪）,8.32m2,2LDK,2006年3月,0,0
4780万円,藤和シティホームズ綾瀬,東京都足立区綾瀬１,足立区,東京メトロ千代田線「綾瀬」徒歩8分,東京メトロ千代田線,綾瀬,0,8,73.5m2（22.23坪）（壁芯）,14m2,3LDK,2000年2月,0,0
4780万円,ルネサンス梅島,東京都足立区中央本町５,足立区,東武伊勢崎線「梅島」徒歩14分,東武伊勢崎線,梅島,0,14,75.49m2,10.07m2,3LDK,2013年3月,0,0
4780万円,クレール清澄公園,東京都江東区白河１,江東区,東京メトロ半蔵門線「清澄白河」徒歩1分,東京メトロ半蔵門線,清澄白河,0,1,51.09m2（壁芯）,7.21m2,2LDK,1982年6月,0,0
4780万円,ルネサンス梅島　　　12階南東角部屋,東京都足立区中央本町５,足立区,東武伊勢崎線「梅島」徒歩14分,東武伊勢崎線,梅島,0,14,75.49m2（22.83坪）（壁芯）,10.07m2,3LDK,2013年3月,0,0
4780万円,レーベンリヴァーレ東京　ラ・トーレ,東京都荒川区荒川５,荒川区,東京メトロ千代田線「町屋」徒歩6分,東京メトロ千代田線,町屋,0,6,55.47m2（16.77坪）（壁芯）,8.32m2,2LDK,2006年3月,0,0
4780万円,レジェンド三ノ輪,東京都台東区三ノ輪１,台東区,東京メトロ日比谷線「三ノ輪」徒歩4分,東京メトロ日比谷線,三ノ輪,0,4,91.48m2（壁芯）,12m2,3LDK,1990年8月,1,0
4780万円,藤和シティーホームズ綾瀬　Ⅲ,東京都足立区綾瀬１,足立区,東京メトロ千代田線「綾瀬」徒歩8分,東京メトロ千代田線,綾瀬,0,8,73.5m2（壁芯）,14m2,3LDK,2000年2月,0,1
4780万円,ウィルローズ小岩,東京都江戸川区西小岩５,江戸川区,ＪＲ総武線「小岩」徒歩12分,ＪＲ総武線,小岩,0,12,62.17m2（壁芯）,9.74m2,2LDK,2019年5月,0,0
4780万円,菊川ガーデンハウス,東京都墨田区菊川３,墨田区,都営新宿線「菊川」徒歩2分,都営新宿線,菊川,0,2,55.12m2（壁芯）,6.77m2,2LDK,1987年5月,0,0
4798万円,秀和亀戸天神橋レジデンス,東京都江東区亀戸２,江東区,ＪＲ総武線「錦糸町」徒歩11分,ＪＲ総武線,錦糸町,0,11,54.39m2（壁芯）,6.66m2,2LDK+S（納戸）,1973年11月,1,0
4850万円,豊洲ハイライズ,東京都江東区豊洲１,江東区,東京メトロ有楽町線「豊洲」徒歩8分,東京メトロ有楽町線,豊洲,0,8,61.6m2（壁芯）,6.94m2,3LDK,1980年3月,0,1
4880万円,ウィルローズ浅草,東京都台東区千束２,台東区,東京メトロ日比谷線「入谷」徒歩7分,東京メトロ日比谷線,入谷,0,7,65.12m2（壁芯）,2.94m2,3LDK,2011年3月,0,0
4880万円,コスモ新小岩クレスト,東京都葛飾区西新小岩４,葛飾区,ＪＲ総武線「新小岩」徒歩7分,ＪＲ総武線,新小岩,0,7,67.55m2（壁芯）,8.7m2,3LDK,1997年8月,1,0
4880万円,ライオンズマンション東陽町第3,東京都江東区南砂２,江東区,東京メトロ東西線「東陽町」徒歩5分,東京メトロ東西線,東陽町,0,5,57.61m2（17.42坪）（壁芯）,7.61m2,2LDK,1986年7月,0,0
4899万円,リバーサイド浅草橋ビル,東京都台東区浅草橋１-3-15,台東区,ＪＲ総武線「浅草橋」徒歩1分,ＪＲ総武線,浅草橋,0,1,65.01m2（19.66坪）（壁芯）,5.94m2,3LDK,1978年1月,0,0
4899万円,ＣＱレジデンシャル上野,東京都台東区下谷１-10-1,台東区,ＪＲ山手線「上野」徒歩9分,ＪＲ山手線,上野,0,9,40.24m2（12.17坪）（壁芯）,3.58m2,1LDK,2007年12月,0,0
4980万円,ステーションプラザメッツ東向島駅前,東京都墨田区東向島５-4-6,墨田区,東武伊勢崎線「東向島」徒歩2分,東武伊勢崎線,東向島,0,2,62.9m2（19.02坪）,4.95m2,3LDK,1997年6月,0,0
4980万円,東大島ファミールハイツ２号館,東京都江東区大島９,江東区,都営新宿線「東大島」徒歩1分,都営新宿線,東大島,0,1,66.03m2（壁芯）,7.66m2,3LDK,1986年11月,0,0
4980万円,【ライオンズマンション東陽町第３】東西線「東陽町」駅…,東京都江東区南砂２,江東区,東京メトロ東西線「東陽町」徒歩6分,東京メトロ東西線,東陽町,0,6,57.61m2（17.42坪）,7.61m2,2LDK+S（納戸）,1986年7月,0,0
4980万円,ルネ潮見,東京都江東区潮見２,江東区,ＪＲ京葉線「潮見」徒歩3分,ＪＲ京葉線,潮見,0,3,59.37m2（壁芯）,9.98m2,2LDK,1999年11月,1,0
4980万円,ルネリバーズタワー東大島,東京都江東区東砂３,江東区,都営新宿線「東大島」徒歩16分,都営新宿線,東大島,0,16,71.95m2（壁芯）,8.73m2,2LDK,2010年9月,0,0
4980万円,クレアホームズ金町,東京都葛飾区金町２-2-14,葛飾区,ＪＲ常磐線「金町」徒歩9分,ＪＲ常磐線,金町,0,9,76.4m2（壁芯）,25.02m2,3LDK,2002年12月,0,0
4980万円,オーバルコート立花,東京都墨田区立花４,墨田区,ＪＲ総武線「平井」徒歩14分,ＪＲ総武線,平井,0,14,83.48m2（壁芯）,9.63m2,3LDK+S（納戸）,1995年1月,0,0
4980万円,錦糸町ローヤルコーポ,東京都墨田区太平４-20-5,墨田区,ＪＲ総武線快速「錦糸町」徒歩8分,ＪＲ総武線快速,錦糸町,0,8,57.38m2（壁芯）,8.25m2,2LDK+S（納戸）,1979年1月,0,0
4980万円,クレール清澄公園,東京都江東区白河１,江東区,東京メトロ半蔵門線「清澄白河」徒歩1分,東京メトロ半蔵門線,清澄白河,0,1,51.09m2（壁芯）,7.21m2,2LDK,1982年6月,1,0
4980万円,クレストフォルム東大島,東京都江東区大島７,江東区,都営新宿線「東大島」徒歩8分,都営新宿線,東大島,0,8,75.26m2（壁芯）,7.9m2,2LDK+S（納戸）,2008年5月,0,0
4990万円,ライオンズマンション向島第２,東京都墨田区向島５-19-4,墨田区,東武伊勢崎線「曳舟」徒歩9分,東武伊勢崎線,曳舟,0,9,68.21m2（20.63坪）,9.15m2,3LDK,1999年2月,0,0
4990万円,マイキャッスル田端さくら通り,東京都荒川区西尾久４,荒川区,ＪＲ高崎線「尾久」徒歩7分,ＪＲ高崎線,尾久,0,7,72.72m2（壁芯）,10.03m2,3LDK,2000年11月,0,0
4990万円,シーガルハイツ入谷壱番館,東京都台東区入谷１-31-7,台東区,東京メトロ日比谷線「入谷」徒歩3分,東京メトロ日比谷線,入谷,0,3,52.55m2（壁芯）,8.55m2,2LDK,1998年1月,0,0
4990万円,ライオンズ綾瀬グランフォート,東京都葛飾区亀有２,葛飾区,東京メトロ千代田線「綾瀬」徒歩11分,東京メトロ千代田線,綾瀬,0,11,66.38m2（壁芯）,-,3LDK,2021年3月,0,0
4998万円,コンポーゼ亀有　　～　最上階・角部屋・ルーフバルコニ…,東京都葛飾区亀有２,葛飾区,ＪＲ常磐線「亀有」徒歩10分,ＪＲ常磐線,亀有,0,10,68.24m2（20.64坪）（壁芯）,11.68m2,3LDK,2000年1月,0,0
4998万円,コンポーゼ亀有,東京都葛飾区亀有２,葛飾区,ＪＲ常磐線「亀有」徒歩10分,ＪＲ常磐線,亀有,0,10,68.24m2（壁芯）,11.68m2,3LDK,2000年1月,0,0
4999万円,Lugal　Square南千住,東京都荒川区南千住７,荒川区,東京メトロ日比谷線「南千住」徒歩4分,東京メトロ日比谷線,南千住,0,4,52.5m2（壁芯）,5.11m2,2LDK,2015年1月,0,0
4999万円,ヴィルドミール浅草橋,東京都台東区浅草橋３-27-10,台東区,都営浅草線「蔵前」徒歩4分,都営浅草線,蔵前,0,4,41.44m2（12.53坪）,3.87m2,1LDK,2016年5月,0,0
4999万円,モアシティ浅草,東京都台東区浅草３,台東区,東京メトロ日比谷線「入谷」徒歩12分,東京メトロ日比谷線,入谷,0,12,56.34m2（壁芯）,5.95m2,2LDK,1990年6月,0,0
4999万円,アルシオン東大島,東京都江東区東砂３,江東区,都営新宿線「東大島」徒歩14分,都営新宿線,東大島,0,14,88.89m2（壁芯）,9.32m2,3LDK,2003年2月,1,0
5080万円,ハイツ町屋,東京都荒川区町屋７,荒川区,東京メトロ千代田線「町屋」徒歩15分,東京メトロ千代田線,町屋,0,15,104.49m2（31.60坪）,11.76m2,3LDK,1986年2月,0,0
5080万円,ライオンズガーデン町屋,東京都荒川区荒川４,荒川区,東京メトロ千代田線「町屋」徒歩5分,東京メトロ千代田線,町屋,0,5,66.37m2（20.07坪）（壁芯）,17.94m2,3LDK,1999年7月,0,0
5080万円,ハイツ町屋　8階部分,東京都荒川区町屋７,荒川区,東京メトロ千代田線「町屋」徒歩15分,東京メトロ千代田線,町屋,0,15,104.49m2（31.60坪）,11.76m2,3LDK,1986年2月,0,0
5080万円,ハイツ町屋,東京都荒川区町屋７-5-16,荒川区,東京メトロ千代田線「町屋」徒歩15分,東京メトロ千代田線,町屋,0,15,104.49m2（31.60坪）（壁芯）,11.76m2,3LDK,1986年2月,0,0
5080万円,ハイツ町屋,東京都荒川区町屋７-5-16,荒川区,東京メトロ千代田線「町屋」徒歩15分,東京メトロ千代田線,町屋,0,15,104.49m2（31.60坪）,11.76m2,3LDK,1986年2月,0,0
5080万円,クレストフォルム東京ビューフォート,東京都江東区潮見２,江東区,ＪＲ京葉線「潮見」徒歩4分,ＪＲ京葉線,潮見,0,4,70.65m2（壁芯）,12m2,3LDK,2002年2月,0,0
5080万円,プレイズ北千住,東京都足立区千住桜木１,足立区,東京メトロ千代田線「北千住」徒歩15分,東京メトロ千代田線,北千住,0,15,65.4m2（19.78坪）（壁芯）,12m2,2LDK+S（納戸）,2020年2月,0,0
5080万円,プレミスト三ノ輪竜泉,東京都台東区竜泉３,台東区,東京メトロ日比谷線「三ノ輪」徒歩6分,東京メトロ日比谷線,三ノ輪,0,6,56.04m2（壁芯）,6.96m2,2LDK,2012年8月,0,0
5088万円,ナイスアーバン東駒形,東京都墨田区東駒形４-19-7,墨田区,都営浅草線「本所吾妻橋」徒歩3分,都営浅草線,本所吾妻橋,0,3,55.43m2（壁芯）,9.38m2,3LDK,1996年9月,1,0
5180万円,サンウッド錦糸町フラッツ,東京都墨田区江東橋４,墨田区,ＪＲ総武線快速「錦糸町」徒歩6分,ＪＲ総武線快速,錦糸町,0,6,42.91m2（壁芯）,6m2,1LDK,2021年7月,0,0
5180万円,アルシオン東大島,東京都江東区東砂３,江東区,都営新宿線「東大島」徒歩14分,都営新宿線,東大島,0,14,88.89m2（26.88坪）（壁芯）,9.32m2,3LDK,2003年2月,0,0
5180万円,錦糸町第２ローヤルコーポ,東京都江東区毛利１,江東区,都営新宿線「住吉」徒歩3分,都営新宿線,住吉,0,3,60.83m2（壁芯）,9.22m2,3LDK,1981年11月,1,0
5180万円,ゼファー四つ木ザナドゥ２１,東京都葛飾区四つ木４,葛飾区,京成押上線「四ツ木」徒歩9分,京成押上線,四ツ木,0,9,85.08m2（壁芯）,12.56m2,3LDK,2002年5月,0,0
5180万円,ダイナシティ浅草,東京都台東区浅草２,台東区,東京メトロ銀座線「浅草」徒歩4分,東京メトロ銀座線,浅草,0,4,53.62m2（壁芯）,6.3m2,1LDK,2005年1月,0,0
5180万円,シティタワー金町 タワー棟,東京都葛飾区新宿６,葛飾区,ＪＲ常磐線「金町」徒歩12分,ＪＲ常磐線,金町,0,12,68.21m2（壁芯）,16.05m2,3LDK,2016年2月,0,0
5180万円,ダイナシティ浅草,東京都台東区浅草２,台東区,都営浅草線「浅草」徒歩4分,都営浅草線,浅草,0,4,53.62m2（16.21坪）（壁芯）,6.3m2,1LDK,2005年2月,1,0
5180万円,ライオンズマンション浅草橋,東京都台東区柳橋１,台東区,ＪＲ総武線「浅草橋」徒歩4分,ＪＲ総武線,浅草橋,0,4,55.44m2（壁芯）,6.67m2,2DK+S（納戸）,1999年3月,0,0
5190万円,ヴェレーナ浅草,東京都台東区浅草５,台東区,つくばエクスプレス「浅草」徒歩13分,つくばエクスプレス,浅草,0,13,60.84m2（壁芯）,4.05m2,2LDK,2013年10月,0,0
5199万円,ミオカステーロ住吉南,東京都江東区北砂１,江東区,東京メトロ半蔵門線「住吉」徒歩15分,東京メトロ半蔵門線,住吉,0,15,64.88m2（19.62坪）（壁芯）,7.61m2,2LDK+S（納戸）,2004年4月,0,0
5199万円,グランティアラ浅草,東京都台東区松が谷２,台東区,つくばエクスプレス「浅草」徒歩6分,つくばエクスプレス,浅草,0,6,50.44m2（壁芯）,6.27m2,2LDK,2008年3月,0,0
5199万円,エヴァーグリーン錦糸町,東京都墨田区業平４-4-1,墨田区,京成押上線「押上」徒歩5分,京成押上線,押上,0,5,56.69m2（17.14坪）,21.33m2,2LDK,1994年8月,0,0
5199万円,ミオカステーロ住吉南,東京都江東区北砂１,江東区,都営新宿線「住吉」徒歩15分,都営新宿線,住吉,0,15,64.88m2,7.61m2,3LDK,2004年4月,0,0
5199万円,エヴァーグリーン錦糸町,東京都墨田区業平４-4-1,墨田区,京成押上線「押上」徒歩5分,京成押上線,押上,0,5,56.69m2（壁芯）,21.33m2,2LDK,1994年8月,1,0
5230万円,イーストコア曳舟一番館,東京都墨田区京島１,墨田区,東武伊勢崎線「曳舟」徒歩3分,東武伊勢崎線,曳舟,0,3,52.68m2（15.93坪）（壁芯）,18.27m2,1LDK,2008年10月,0,0
5250万円,アルカサル亀戸,東京都江東区亀戸５,江東区,ＪＲ総武線「亀戸」徒歩5分,ＪＲ総武線,亀戸,0,5,68.76m2（20.79坪）（壁芯）,7.64m2,3LDK,1996年8月,0,0
5270万円,東京フロンティアシティ　パーク＆パークス,東京都荒川区南千住８,荒川区,東京メトロ日比谷線「南千住」徒歩20分,東京メトロ日比谷線,南千住,0,20,80.61m2（24.38坪）（壁芯）,12.6m2,3LDK,2007年12月,0,0
5280万円,ランドシティ北千住,東京都足立区千住寿町35-1,足立区,東京メトロ千代田線「北千住」徒歩10分,東京メトロ千代田線,北千住,0,10,71.06m2（21.49坪）,8.02m2,3LDK,2009年7月,0,0
5280万円,デュオ・スカーラ秋葉原,東京都台東区浅草橋５-10-2,台東区,ＪＲ山手線「秋葉原」徒歩10分,ＪＲ山手線,秋葉原,0,10,42.36m2（12.81坪）（壁芯）,5.92m2,1LDK,2002年2月,0,0
5280万円,デュオ・スカーラ秋葉原,東京都台東区浅草橋５,台東区,ＪＲ山手線「秋葉原」徒歩10分,ＪＲ山手線,秋葉原,0,10,42.36m2（12.81坪）（壁芯）,5.92m2,1LDK,2002年2月,0,0
5280万円,ランドシティ北千住,東京都足立区千住寿町,足立区,東京メトロ千代田線「北千住」徒歩10分,東京メトロ千代田線,北千住,0,10,71.06m2（壁芯）,8.02m2,3LDK,2009年7月,0,0
